k,N,r,risk,ignore,follow,bayes,follow_regret,ignore_regret
8,10,0.8,0.030211480362537766,82.43202416918429,81.21450151057401,82.43202416918429,1.217522658610278,0.0
8,10,1.0,0.030211480362537766,82.43202416918429,84.54682779456193,84.54682779456193,0.0,2.1148036253776468
8,50,0.3,0.1347708894878706,73.544474393531,67.28975741239893,76.25471698113208,8.96495956873315,2.7102425876010727
8,50,0.5,0.1347708894878706,73.54447439353099,71.7722371967655,73.54447439353099,1.772237196765488,0.0
8,50,0.6,0.1347708894878706,73.544474393531,74.01347708894879,74.01347708894879,0.0,0.4690026954177853
8,50,0.8,0.1347708894878706,73.544474393531,78.49595687331536,78.49595687331536,0.0,4.95148247978436
8,50,1.0,0.1347708894878706,73.54447439353099,82.97843665768193,82.97843665768193,0.0,9.433962264150935
8,100,0.3,0.2375296912114014,70.0,61.79216152019002,73.01781472684084,11.225653206650819,3.0178147268408395
8,100,0.5,0.2375296912114014,70.0,67.40498812351544,70.0,2.5950118764845627,0.0
8,100,0.6,0.2375296912114014,70.0,70.21140142517814,70.21140142517814,0.0,0.21140142517813842
8,100,0.8,0.2375296912114014,70.0,75.82422802850357,75.82422802850357,0.0,5.824228028503569
8,100,1.0,0.2375296912114014,70.0,81.43705463182897,81.43705463182897,0.0,11.437054631828971
8,500,0.3,0.6090133982947625,70.0,41.91778319123021,70.0,28.082216808769793,0.0
8,500,0.5,0.6090133982947625,70.0,51.6169305724726,70.0,18.383069427527403,0.0
8,500,0.6,0.6090133982947625,70.0,56.46650426309378,70.0,13.533495736906218,0.0
8,500,0.8,0.6090133982947625,70.0,66.16565164433618,70.0,3.8343483556638205,0.0
8,500,1.0,0.6090133982947625,70.0,75.86479902557856,75.86479902557856,0.0,5.864799025578563
8,900,0.3,0.7371007371007371,70.0,35.065110565110565,70.0,34.934889434889435,0.0
8,900,0.5,0.7371007371007371,70.0,46.17321867321867,70.0,23.82678132678133,0.0
8,900,0.6,0.7371007371007371,70.0,51.72727272727273,70.0,18.272727272727273,0.0
8,900,0.8,0.7371007371007371,70.0,62.83538083538083,70.0,7.164619164619168,0.0
8,900,1.0,0.7371007371007371,70.0,73.94348894348894,73.94348894348894,0.0,3.943488943488944
12,10,0.3,0.020366598778004074,83.26883910386965,73.41038696537677,83.26883910386965,9.85845213849288,0.0
12,10,0.5,0.020366598778004074,83.26883910386965,76.63441955193483,83.26883910386965,6.634419551934826,0.0
12,10,0.6,0.020366598778004074,83.26883910386965,78.24643584521385,83.26883910386965,5.0224032586558,0.0
12,10,0.8,0.020366598778004074,83.26883910386965,81.4704684317719,83.26883910386965,1.7983706720977466,0.0
12,10,1.0,0.020366598778004074,83.26883910386965,84.69450101832993,84.69450101832993,0.0,1.425661914460278
12,50,0.3,0.09416195856873823,76.99623352165725,69.4623352165725,77.53389830508473,8.071563088512235,0.5376647834274877
12,50,0.5,0.09416195856873823,76.99623352165725,73.49811676082862,76.99623352165725,3.4981167608286228,0.0
12,50,0.6,0.09416195856873823,76.99623352165725,75.51600753295668,76.99623352165725,1.4802259887005675,0.0
12,50,0.8,0.09416195856873823,76.99623352165725,79.55178907721282,79.55178907721282,0.0,2.5555555555555713
12,50,1.0,0.09416195856873823,76.99623352165725,83.58757062146893,83.58757062146893,0.0,6.591337099811682
12,100,0.3,0.1721170395869191,70.37005163511186,65.29173838209982,75.07831325301203,9.786574870912204,4.708261617900163
12,100,0.5,0.1721170395869191,70.37005163511188,70.18502581755594,70.37005163511188,0.18502581755593894,0.0
12,100,0.6,0.1721170395869191,70.37005163511188,72.63166953528399,72.63166953528399,0.0,2.261617900172112
12,100,0.8,0.1721170395869191,70.37005163511188,77.5249569707401,77.5249569707401,0.0,7.154905335628229
12,100,1.0,0.1721170395869191,70.37005163511188,82.41824440619621,82.41824440619621,0.0,12.04819277108433
12,500,0.3,0.509683995922528,70.0,47.23190621814474,70.0,22.768093781855256,0.0
12,500,0.5,0.509683995922528,70.0,55.838430173292565,70.0,14.161569826707435,0.0
12,500,0.6,0.509683995922528,70.0,60.14169215086646,70.0,9.858307849133539,0.0
12,500,0.8,0.509683995922528,70.0,68.74821610601427,70.0,1.2517838939857313,0.0
12,500,1.0,0.509683995922528,70.0,77.35474006116209,77.35474006116209,0.0,7.35474006116209
12,900,0.3,0.6517016654598118,70.0,39.63396089790007,70.0,30.366039102099933,0.0
12,900,0.5,0.6517016654598118,70.0,49.802679217958,70.0,20.197320782042,0.0
12,900,0.6,0.6517016654598118,69.99999999999999,54.88703837798697,69.99999999999999,15.112961622013017,0.0
12,900,0.8,0.6517016654598118,70.0,65.05575669804489,70.0,4.944243301955112,0.0
12,900,1.0,0.6517016654598118,70.0,75.22447501810282,75.22447501810282,0.0,5.224475018102822
